Session ID,Date,Duration (minutes),Total Scroll Distance,Total Clicks,Scroll Events Count,URL,doomscroll_label
session_1763855866320_yt80f3fkb,2025-11-23T00:08:50.533Z,11,4569.600098,1,24,https://www.youtube.com/watch?v=fWjsdhR3z3c,0
session_1763857098148_u2bbmhmtk,2025-11-23T00:29:16.962Z,11,5649.599869,2,35,https://www.youtube.com/watch?v=98NNF5kW_4c,0
session_1763857834044_0vppbovmm,2025-11-23T00:32:48.686Z,2,696,2,7,https://www.youtube.com/watch?v=moQnoSYPMmY,0
session_1763925109828_d2k3uorxi,2025-11-23T19:32:33.630Z,21,6846.400085,6,39,https://www.youtube.com/watch?v=kPa7bsKwL-c&list=PLxA687tYuMWh1ikph6udMpHt_Of3CnaFC&index=7,0
session_1763926417921_rdkxx06ed,2025-11-23T19:52:21.842Z,19,5182.399902,2,22,https://www.youtube.com/watch?v=L8HKweZIOmg,0
session_1764082244012_tperntg68,2025-11-25T15:05:33.717Z,15,5747.200195,1,25,https://www.youtube.com/watch?v=8-5yLt1gqIo,0
session_1764085213720_hqie0wkh7,2025-11-25T15:45:07.289Z,5,1297.600021,2,9,https://www.youtube.com/watch?v=fsHGTvGDjEQ&list=RDNSTdUfxrnKrOQ&index=2,0
session_1764085615746_60i0zh698,2025-11-25T16:01:53.209Z,15,7171.199829,3,50,https://www.youtube.com/watch?v=IE_qo1vjbhs,0
session_1764275020559_iof7oj93a,2025-11-27T20:48:24.984Z,25,1540,2,10,https://www.youtube.com/watch?v=C4N3_XJJ-jU&list=PLblh5JKOoLUJJpBNfk8_YadPwDTO2SCbx&index=7,0
session_1764276611514_95rnfoxhg,2025-11-27T20:53:19.509Z,3,4710.667358,0,40,https://www.youtube.com/results?search_query=how+to+download+linux+on+windows+11,0
session_1764277107587_k1gnvks1f,2025-11-27T21:28:23.895Z,30,548.0000153,1,10,https://www.youtube.com/watch?v=KewakhYqrts&t=2231s,0
session_1764279023605_0ejn8ep51,2025-11-27T21:42:18.466Z,12,2742.666672,2,25,https://www.youtube.com/watch?v=IxTMuoZdzIA,0
session_1764280206712_5dtaq3h68,2025-11-27T22:01:12.568Z,11,1785.333344,1,21,https://www.youtube.com/watch?v=b_TTLmmQmXU,0
session_1764281104631_j8zsriwrn,2025-11-27T22:08:48.430Z,4,10580.00008,1,63,https://www.youtube.com/,0
session_1764281852092_z4p1a4b9y,2025-11-27T22:37:08.893Z,20,3129.333435,1,15,https://www.youtube.com/watch?v=jfKfPfyJRdk,0
session_1764283397169_jqxmypj0p,2025-11-27T22:52:11.076Z,9,1581.333374,1,12,https://www.youtube.com/watch?v=uRFEDgbSQU8,0
session_1764293167123_l3jvzensx,2025-11-28T01:32:22.248Z,6,7219.999817,2,37,https://www.youtube.com/watch?v=Da-2h2B4faU,0
session_1764294107317_he8nxi691,2025-11-28T02:16:30.515Z,35,3728.000122,1,25,https://www.youtube.com/watch?v=rfqalXigeOc,0
session_1764297189770_jsgskcx3d,2025-11-28T02:40:10.444Z,7,3297.333252,1,33,https://www.youtube.com/watch?v=_1Uetx-LXZs,0
session_1764298039199_edlv5dtxf,2025-11-28T03:01:53.674Z,15,7165.33374,3,52,https://www.youtube.com/watch?v=orL-w2QBiN8&list=PLO_1AmtK1TMRi01-V_tdHKDLBu7cNWIgf&index=3,0
session_1764299258717_zrdjsxhf8,2025-11-28T03:10:17.682Z,3,11394,0,102,https://www.youtube.com/,0
session_1764350405160_k8huq0hnr,2025-11-28T17:41:41.407Z,22,14026.66721,3,66,https://www.youtube.com/watch?v=pHDYsy6xyE4&list=PL3bNyZYHcRSU5roEYNNJICMUmm8tZ1qE4&index=3,0
session_1764353109680_o160z7cam,2025-11-28T18:14:45.342Z,10,9386.666367,1,35,https://www.youtube.com/watch?v=6mp9Hu8DL8U,0
session_1764354028619_vpi5zzjts,2025-11-28T18:33:25.655Z,13,4885.333282,2,36,https://www.youtube.com/watch?v=N5zQTUhfuLU,0
session_1764355496893_pfvc2j94i,2025-11-28T18:53:02.185Z,8,4827.333267,2,35,https://www.youtube.com/watch?v=Dn0qZO2PKgE,0
session_1764358053903_wjba89iws,2025-11-28T19:46:21.980Z,19,87907.03455,94,172,https://www.youtube.com/shorts/MdCr9oZCpWo,1
session_1764358053903_wjv37cfol,2025-11-28T19:46:21.980Z,28,42847.29163,9,244,https://youtu.be/kBdfcR-8hEY?si=dt34SU49s3ZlEzHr,1
session_1764359821447_kp3mxv7fn,2025-11-28T20:15:33.124Z,35,161875.4829,85,315,https://youtube.com/shorts/8DxDESQLRnA?si=oUhybU9MVSsNmmEi,1
session_1764361954738_zm8nqt2vk,2025-11-28T21:48:19.667Z,32,71428.36547,42,354,https://youtube.com/shorts/FPsbpVJn9Mg?si=sCWw2RJ8XAQuJfBj,1
session_1764363127491_hd7wpxn3m,2025-11-28T22:19:45.293Z,26,59342.73561,8,217,https://youtu.be/zHL9GP_B30E?si=nPZEGJNktyWECZWm,1
session_1764364892016_nt5kqw8yr,2025-11-28T23:02:11.558Z,30,138947.6282,143,275,https://youtube.com/shorts/_9v2U4m1IjU?si=ir6A34OZVF34SWnz,1
session_1764366745329_pq9vmth2s,2025-11-29T00:35:28.891Z,25,82526.74928,6,387,https://youtu.be/zhI7bQyTmHw?si=qm0Rz0x8Uis4_jZa,1
session_1764368519847_wk2nfp6xt,2025-11-29T01:22:17.445Z,35,127694.3873,32,512,https://youtube.com/shorts/pQuoI0z6UFA?si=hHt_CP8NZNKNyEBy,1
session_1764370284651_yz7htq3mp,2025-11-29T02:08:54.776Z,38,14729.58146,9,126,https://youtu.be/7arjH-sGWFM?si=dX-uqAHtJvvp6xK4,1
session_1764372196283_bx4nvp8wq,2025-11-29T03:41:29.337Z,40,185214.7296,188,360,https://youtube.com/shorts/NORW1nICg4o?si=Cou5I8GxKn_an-R1,1
session_1764374028674_cn6wqm9tr,2025-11-29T04:18:35.829Z,30,47892.41736,12,310,https://youtu.be/kJ5PCbtiCpk?si=dTqxwyM5rgC5-q7Q,1
session_1764375941826_dp8xrn2vs,2025-11-29T05:53:47.192Z,42,79610.23112,24,408,https://youtu.be/0aGNAxN5Z-o?si=XNt0hlz-heIBqbTs,1
session_1764377615439_eq9ysm4wt,2025-11-29T06:27:58.664Z,24,47717.86954,6,267,https://youtu.be/Jl1I4MA-TaU?si=-DIRG_kmfGX8jVHh,1
session_1764379428751_fr2ztn5xu,2025-11-29 7:34:19,28,129584.3722,132,252,https://youtube.com/shorts/1pibqIOfcPg?si=EhnfTm4hMP20ZLI7,1
session_1764381296847_gs3avp7yv,2025-11-29T08:49:27.381Z,45,68729.46582,26,325,https://youtube.com/shorts/AGUO3YQ_Y38?si=EDdbkb28ssc62jDI,1
session_1764383114629_ht4bwq8zw,2025-11-29T09:56:38.745Z,32,17463.92847,10,144,https://youtu.be/1bH_ukYn81c?si=zfRANl39RaxxZU1y,1
session_1764384927461_iu5cxr9ax,2025-11-29T11:02:49.109Z,33,152738.2946,157,297,https://youtube.com/shorts/jAPrFtatEsQ?si=iI9w4EOqYPEkxFyx,1
session_1764386741293_jv6dys2by,2025-11-29T12:09:58.473Z,27,43526.84729,11,251,https://youtu.be/vb11oOHYNXM?si=UPLR9sRkjDXaBoZ_,1
session_1764388554126_kw7ezt3cz,2025-11-29T13:16:09.837Z,36,59182.73641,23,261,https://youtu.be/udtLKxVZc5Y?si=7hvWiicYynYZHYp4,1
session_1764390368958_lx8fau4da,2025-11-29T14:23:21.201Z,48,222147.8594,231,432,https://youtube.com/shorts/QPd7nT7ecQI?si=e3pNzrEIihT-zrS6,1
session_1764392181791_my9gbv5eb,2025-11-29T15:29:32.564Z,38,54673.19284,14,284,https://youtu.be/69iuc4VabSM?si=mgMO0EFfjP4GGV6M,1
session_1764393994623_nz2hcw6fc,2025-11-29T16:35:43.928Z,35,61847.52938,22,302,https://youtu.be/lEXBxijQREo?si=VeQZ3Wp5rzu8hQO3,1
session_1764395807456_oa3idx7gd,2025-11-29T17:42:55.292Z,40,63294.87156,16,310,https://youtu.be/fzU43NkE8-k?si=mnsgpwMjaNOdJpnV,1
session_1764397620288_pb4jey8he,2025-11-29T18:49:06.656Z,37,171263.9483,178,333,https://youtube.com/shorts/GLoWqeGFWVY?si=6PaAhYcy83tLRHBU,1
session_1764399433121_qc5kfz9if,2025-11-29T19:55:18.020Z,50,83746.29518,31,465,https://youtube.com/shorts/PruI5P_dt68?si=mS-4fGaLGKQvppso,1